,Company,model,bought,month,issues,resale
09-01-16 10:58,Apple,Iphone 5s,22000,10,"Phone used to lag/hang during usage, No issues",12000
09-01-16 19:46,Apple,Iphone 4,40000,19,No issues,12000
09-01-16 20:34,Apple,I phone 5,50000,19,Phone used to lag/hang during usage,5000
09-01-16 22:38,Apple,iphone 4,30000,19,No issues,5000
09-03-16 23:23,Apple,iPhone 4,20000,19,"Battery used to drain abnormally, No issues",5000
09-03-16 23:23,Apple,Iphone 4s,45000,28,Phone used to lag/hang during usage,7000
09-04-16 0:00,Apple,iPhone 4s,27500,28,No issues,3500
09-04-16 0:53,Apple,Iphone 5,30000,19,No issues,12000
09-04-16 7:49,Apple,iPhone 5,45500,19,No issues,12000
09-04-16 8:09,Apple,iPhone 5,45000,28,No issues,15000
09-04-16 11:25,Apple,iPhone 4s,16700,10,Phone used to lag/hang during usage,7000
09-04-16 11:27,Apple,iPhone 6,53500,19,Battery used to drain abnormally,15000
09-04-16 12:21,Apple,Iphone 5,32000,19,Battery used to drain abnormally,11000
09-04-16 14:15,Apple,Iphone 4S,15500,19,Phone used to lag/hang during usage,5000
09-04-16 19:53,Apple,Iphone 4S,24000,28,Less memory storage ,6000
09-07-16 18:03,Apple,Iphone 4S,15500,19,Phone used to lag/hang during usage,5000
10/18/2016 14:43:27,Apple,iphone 6,44000,4,Battery used to drain abnormally,28000
10/18/2016 14:44:51,Apple,Iphone SE,45000,4,"Speaker/ Microphone issues, Wi-Fi  or other connectivity issues",21000
10/18/2016 14:55:39,Apple,iphone 5s,55000,4,Battery used to drain abnormally,35000
10/18/2016 14:57:21,Apple,iPhone 5C,45000,1,"Battery used to drain abnormally, Compatibility",35000
10/18/2016 14:57:52,Apple,Iphone 4s,39000,1,Battery used to drain abnormally,29000
09-01-16 12:10,HTC,Htc 310,9000,10,Phone used to lag/hang during usage,800
09-01-16 19:48,HTC,Desire 826,25000,19,"Phone used to lag/hang during usage, No issues",13000
09-01-16 23:35,HTC,Htc desire 816 dual sim,24000,19,Lock button stopped working. Battery wouldnt charge.,4500
09-01-16 23:36,HTC,Desire U,12000,10,Display problem,1500
09-02-16 15:46,HTC,HTC One V,19000,19,"Phone used to lag/hang during usage, Battery used to drain abnormally",1500
09-03-16 22:47,HTC,Explorer,8150,19,"Phone used to lag/hang during usage, Battery used to drain abnormally",1500
09-04-16 1:35,HTC,Htc desire 516,11000,19,Battery used to drain abnormally,3000
09-04-16 10:40,HTC,HTC Desire ,13000,28,"Phone used to lag/hang during usage, Battery used to drain abnormally",1500
09-04-16 10:40,HTC,HTC One Dual Sim,47000,28,Battery used to drain abnormally,12000
09-04-16 11:24,HTC,M8,49990,19,"Phone used to lag/hang during usage, Speaker/ Microphone issues",14500
09-04-16 12:57,HTC,Htc one ,20000,28,"Phone used to lag/hang during usage, Battery used to drain abnormally, Speaker/ Microphone issues",4000
09-04-16 20:34,HTC,Desire 616,17100,19,"Battery used to drain abnormally, Speaker/ Microphone issues",3500
10/18/2016 14:40:56,HTC,One V,18000,10,Phone used to lag/hang during usage,6500
10/18/2016 15:22:12,HTC,Explorer,8000,4,"Phone used to lag/hang during usage, Wi-Fi  or other connectivity issues",3500
10/18/2016 15:37:26,HTC,One X,32000,4,Speaker/ Microphone issues,21000
09-01-16 20:13,LG,Nexus5,23000,10,Phone used to lag/hang during usage,13000
